Countries or Regions,Currency Code,Price
Afghanistan,USD,19.99
Albania,USD,22.99
Algeria,USD,19.99
Angola,USD,19.99
Anguilla,USD,19.99
Antigua and Barbuda,USD,19.99
Argentina,USD,19.99
Armenia,USD,22.99
Australia,AUD,29.99
Austria,EUR,22.99
Azerbaijan,USD,22.99
Bahamas,USD,19.99
Bahrain,USD,19.99
Barbados,USD,22.99
Belarus,USD,22.99
Belgium,EUR,22.99
Belize,USD,19.99
Benin,USD,22.99
Bermuda,USD,19.99
Bhutan,USD,19.99
Bolivia,USD,19.99
Bosnia and Herzegovina,EUR,22.99
Botswana,USD,19.99
Brazil,BRL,129.9
British Virgin Islands,USD,19.99
Brunei,USD,19.99
Bulgaria,EUR,22.99
Burkina Faso,USD,19.99
Cambodia,USD,19.99
Cameroon,USD,22.99
Canada,CAD,24.99
Cape Verde,USD,19.99
Cayman Islands,USD,19.99
Chad,USD,19.99
Chile,CLP,22990
China mainland,CNY,148.0
Colombia,COP,99900.0
"Congo, Democratic Republic of the",USD,19.99
"Congo, Republic of the",USD,19.99
Costa Rica,USD,19.99
Côte d’Ivoire,USD,22.99
Croatia,EUR,22.99
Cyprus,EUR,22.99
Czech Republic,CZK,499.0
Denmark,DKK,179.0
Dominica,USD,19.99
Dominican Republic,USD,19.99
Ecuador,USD,19.99
Egypt,EGP,999.99
El Salvador,USD,19.99
Estonia,EUR,22.99
Eswatini,USD,19.99
Fiji,USD,19.99
Finland,EUR,22.99
France,EUR,22.99
Gabon,USD,19.99
Gambia,USD,19.99
Georgia,USD,22.99
Germany,EUR,22.99
Ghana,USD,22.99
Greece,EUR,22.99
Grenada,USD,19.99
Guatemala,USD,19.99
Guinea-Bissau,USD,19.99
Guyana,USD,19.99
Honduras,USD,19.99
Hong Kong,HKD,148.0
Hungary,HUF,8990
Iceland,USD,22.99
India,INR,1999.0
Indonesia,IDR,349000
Iraq,USD,19.99
Ireland,EUR,22.99
Israel,ILS,69.9
Italy,EUR,22.99
Jamaica,USD,19.99
Japan,JPY,3000
Jordan,USD,19.99
Kazakhstan,KZT,11990.0
Kenya,USD,22.99
"Korea, Republic of",KRW,29000
Kosovo,EUR,22.99
Kuwait,USD,19.99
Kyrgyzstan,USD,19.99
Laos,USD,19.99
Latvia,EUR,22.99
Lebanon,USD,19.99
Liberia,USD,19.99
Libya,USD,19.99
Lithuania,EUR,22.99
Luxembourg,EUR,22.99
Macau,USD,19.99
Madagascar,USD,19.99
Malawi,USD,19.99
Malaysia,MYR,99.9
Maldives,USD,19.99
Mali,USD,19.99
Malta,EUR,22.99
Mauritania,USD,19.99
Mauritius,USD,19.99
Mexico,MXN,399.0
Micronesia,USD,19.99
Moldova,USD,22.99
Mongolia,USD,19.99
Montenegro,EUR,19.99
Montserrat,USD,19.99
Morocco,USD,19.99
Mozambique,USD,19.99
Myanmar,USD,19.99
Namibia,USD,19.99
Nauru,USD,19.99
Nepal,USD,22.99
Netherlands,EUR,22.99
New Zealand,NZD,39.99
Nicaragua,USD,19.99
Niger,USD,19.99
Nigeria,NGN,29900.0
North Macedonia,USD,19.99
Norway,NOK,249.0
Oman,USD,19.99
Pakistan,PKR,4900.0
Palau,USD,19.99
Panama,USD,19.99
Papua New Guinea,USD,19.99
Paraguay,USD,19.99
Peru,PEN,89.9
Philippines,PHP,1290.0
Poland,PLN,99.99
Portugal,EUR,22.99
Qatar,QAR,69.99
Romania,RON,99.99
Russia,RUB,1790.0
Rwanda,USD,19.99
São Tomé and Príncipe,USD,19.99
Saudi Arabia,SAR,89.99
Senegal,USD,22.99
Serbia,EUR,22.99
Seychelles,USD,19.99
Sierra Leone,USD,19.99
Singapore,SGD,29.98
Slovakia,EUR,22.99
Slovenia,EUR,22.99
Solomon Islands,USD,19.99
South Africa,ZAR,399.99
Spain,EUR,22.99
Sri Lanka,USD,19.99
St. Kitts and Nevis,USD,19.99
St. Lucia,USD,19.99
St. Vincent and the Grenadines,USD,19.99
Suriname,USD,19.99
Sweden,SEK,249.0
Switzerland,CHF,18.0
Taiwan,TWD,690
Tajikistan,USD,19.99
Tanzania,TZS,59900.0
Thailand,THB,699.0
Tonga,USD,19.99
Trinidad and Tobago,USD,19.99
Tunisia,USD,19.99
Türkiye,TRY,999.99
Turkmenistan,USD,19.99
Turks and Caicos Islands,USD,19.99
Uganda,USD,22.99
Ukraine,USD,22.99
United Arab Emirates,AED,79.99
United Kingdom,GBP,19.99
United States,USD,19.99
Uruguay,USD,19.99
Uzbekistan,USD,19.99
Vanuatu,USD,19.99
Venezuela,USD,19.99
Vietnam,VND,599000
Yemen,USD,19.99
Zambia,USD,22.99
Zimbabwe,USD,22.99
