Countries or Regions,Currency Code,Price
Afghanistan,USD,1.99
Albania,USD,1.99
Algeria,USD,1.99
Angola,USD,1.99
Anguilla,USD,1.99
Antigua and Barbuda,USD,1.99
Argentina,USD,1.99
Armenia,USD,1.99
Australia,AUD,2.99
Austria,EUR,1.99
Azerbaijan,USD,1.99
Bahamas,USD,1.99
Bahrain,USD,1.99
Barbados,USD,1.99
Belarus,USD,1.99
Belgium,EUR,1.99
Belize,USD,1.99
Benin,USD,1.99
Bermuda,USD,1.99
Bhutan,USD,1.99
Bolivia,USD,1.99
Bosnia and Herzegovina,EUR,1.99
Botswana,USD,1.99
Brazil,BRL,12.9
British Virgin Islands,USD,1.99
Brunei,USD,1.99
Bulgaria,EUR,1.99
Burkina Faso,USD,1.99
Cambodia,USD,1.99
Cameroon,USD,1.99
Canada,CAD,2.99
Cape Verde,USD,1.99
Cayman Islands,USD,1.99
Chad,USD,1.99
Chile,CLP,1990
China mainland,CNY,15.0
Colombia,COP,9900.0
"Congo, Democratic Republic of the",USD,1.99
"Congo, Republic of the",USD,1.99
Costa Rica,USD,1.99
Côte d’Ivoire,USD,1.99
Croatia,EUR,1.99
Cyprus,EUR,1.99
Czech Republic,CZK,49.0
Denmark,DKK,19.0
Dominica,USD,1.99
Dominican Republic,USD,1.99
Ecuador,USD,1.99
Egypt,EGP,99.99
El Salvador,USD,1.99
Estonia,EUR,1.99
Eswatini,USD,1.99
Fiji,USD,1.99
Finland,EUR,1.99
France,EUR,1.99
Gabon,USD,1.99
Gambia,USD,1.99
Georgia,USD,1.99
Germany,EUR,1.99
Ghana,USD,1.99
Greece,EUR,1.99
Grenada,USD,1.99
Guatemala,USD,1.99
Guinea-Bissau,USD,1.99
Guyana,USD,1.99
Honduras,USD,1.99
Hong Kong,HKD,18.0
Hungary,HUF,999
Iceland,USD,1.99
India,INR,199.0
Indonesia,IDR,29000
Iraq,USD,1.99
Ireland,EUR,1.99
Israel,ILS,7.9
Italy,EUR,1.99
Jamaica,USD,1.99
Japan,JPY,300
Jordan,USD,1.99
Kazakhstan,KZT,999.0
Kenya,USD,1.99
"Korea, Republic of",KRW,3300
Kosovo,EUR,1.99
Kuwait,USD,1.99
Kyrgyzstan,USD,1.99
Laos,USD,1.99
Latvia,EUR,1.99
Lebanon,USD,1.99
Liberia,USD,1.99
Libya,USD,1.99
Lithuania,EUR,1.99
Luxembourg,EUR,1.99
Macau,USD,1.99
Madagascar,USD,1.99
Malawi,USD,1.99
Malaysia,MYR,9.9
Maldives,USD,1.99
Mali,USD,1.99
Malta,EUR,1.99
Mauritania,USD,1.99
Mauritius,USD,1.99
Mexico,MXN,39.0
Micronesia,USD,1.99
Moldova,USD,1.99
Mongolia,USD,1.99
Montenegro,EUR,1.99
Montserrat,USD,1.99
Morocco,USD,1.99
Mozambique,USD,1.99
Myanmar,USD,1.99
Namibia,USD,1.99
Nauru,USD,1.99
Nepal,USD,1.99
Netherlands,EUR,1.99
New Zealand,NZD,3.99
Nicaragua,USD,1.99
Niger,USD,1.99
Nigeria,NGN,3200.0
North Macedonia,USD,1.99
Norway,NOK,29.0
Oman,USD,1.99
Pakistan,PKR,500.0
Palau,USD,1.99
Panama,USD,1.99
Papua New Guinea,USD,1.99
Paraguay,USD,1.99
Peru,PEN,9.9
Philippines,PHP,129.0
Poland,PLN,9.99
Portugal,EUR,1.99
Qatar,QAR,7.99
Romania,RON,9.99
Russia,RUB,199.0
Rwanda,USD,1.99
São Tomé and Príncipe,USD,1.99
Saudi Arabia,SAR,9.99
Senegal,USD,1.99
Serbia,EUR,1.99
Seychelles,USD,1.99
Sierra Leone,USD,1.99
Singapore,SGD,2.98
Slovakia,EUR,1.99
Slovenia,EUR,1.99
Solomon Islands,USD,1.99
South Africa,ZAR,39.99
Spain,EUR,1.99
Sri Lanka,USD,1.99
St. Kitts and Nevis,USD,1.99
St. Lucia,USD,1.99
St. Vincent and the Grenadines,USD,1.99
Suriname,USD,1.99
Sweden,SEK,29.0
Switzerland,CHF,2.0
Taiwan,TWD,60
Tajikistan,USD,1.99
Tanzania,TZS,5900.0
Thailand,THB,79.0
Tonga,USD,1.99
Trinidad and Tobago,USD,1.99
Tunisia,USD,1.99
Türkiye,TRY,99.99
Turkmenistan,USD,1.99
Turks and Caicos Islands,USD,1.99
Uganda,USD,1.99
Ukraine,USD,1.99
United Arab Emirates,AED,7.99
United Kingdom,GBP,1.99
United States,USD,1.99
Uruguay,USD,1.99
Uzbekistan,USD,1.99
Vanuatu,USD,1.99
Venezuela,USD,1.99
Vietnam,VND,59000
Yemen,USD,1.99
Zambia,USD,1.99
Zimbabwe,USD,1.99
