Countries or Regions,Currency Code,Price
Afghanistan,USD,39.99
Albania,USD,49.99
Algeria,USD,39.99
Angola,USD,39.99
Anguilla,USD,39.99
Antigua and Barbuda,USD,39.99
Argentina,USD,39.99
Armenia,USD,49.99
Australia,AUD,59.99
Austria,EUR,44.99
Azerbaijan,USD,49.99
Bahamas,USD,39.99
Bahrain,USD,39.99
Barbados,USD,49.99
Belarus,USD,49.99
Belgium,EUR,44.99
Belize,USD,39.99
Benin,USD,49.99
Bermuda,USD,39.99
Bhutan,USD,39.99
Bolivia,USD,39.99
Bosnia and Herzegovina,EUR,44.99
Botswana,USD,39.99
Brazil,BRL,249.9
British Virgin Islands,USD,39.99
Brunei,USD,39.99
Bulgaria,EUR,44.99
Burkina Faso,USD,39.99
Cambodia,USD,39.99
Cameroon,USD,49.99
Canada,CAD,49.99
Cape Verde,USD,39.99
Cayman Islands,USD,39.99
Chad,USD,39.99
Chile,CLP,49990
China mainland,CNY,298.0
Colombia,COP,199900.0
"Congo, Democratic Republic of the",USD,39.99
"Congo, Republic of the",USD,39.99
Costa Rica,USD,39.99
Côte d’Ivoire,USD,49.99
Croatia,EUR,44.99
Cyprus,EUR,44.99
Czech Republic,CZK,999.0
Denmark,DKK,349.0
Dominica,USD,39.99
Dominican Republic,USD,39.99
Ecuador,USD,39.99
Egypt,EGP,1999.99
El Salvador,USD,39.99
Estonia,EUR,44.99
Eswatini,USD,39.99
Fiji,USD,39.99
Finland,EUR,44.99
France,EUR,44.99
Gabon,USD,39.99
Gambia,USD,39.99
Georgia,USD,49.99
Germany,EUR,44.99
Ghana,USD,49.99
Greece,EUR,44.99
Grenada,USD,39.99
Guatemala,USD,39.99
Guinea-Bissau,USD,39.99
Guyana,USD,39.99
Honduras,USD,39.99
Hong Kong,HKD,288.0
Hungary,HUF,17990
Iceland,USD,49.99
India,INR,3999.0
Indonesia,IDR,699000
Iraq,USD,39.99
Ireland,EUR,44.99
Israel,ILS,149.9
Italy,EUR,44.99
Jamaica,USD,39.99
Japan,JPY,6000
Jordan,USD,39.99
Kazakhstan,KZT,22990.0
Kenya,USD,49.99
"Korea, Republic of",KRW,55000
Kosovo,EUR,44.99
Kuwait,USD,39.99
Kyrgyzstan,USD,39.99
Laos,USD,39.99
Latvia,EUR,44.99
Lebanon,USD,39.99
Liberia,USD,39.99
Libya,USD,39.99
Lithuania,EUR,44.99
Luxembourg,EUR,44.99
Macau,USD,39.99
Madagascar,USD,39.99
Malawi,USD,39.99
Malaysia,MYR,199.9
Maldives,USD,39.99
Mali,USD,39.99
Malta,EUR,44.99
Mauritania,USD,39.99
Mauritius,USD,39.99
Mexico,MXN,899.0
Micronesia,USD,39.99
Moldova,USD,49.99
Mongolia,USD,39.99
Montenegro,EUR,39.99
Montserrat,USD,39.99
Morocco,USD,39.99
Mozambique,USD,39.99
Myanmar,USD,39.99
Namibia,USD,39.99
Nauru,USD,39.99
Nepal,USD,49.99
Netherlands,EUR,44.99
New Zealand,NZD,69.99
Nicaragua,USD,39.99
Niger,USD,39.99
Nigeria,NGN,69900.0
North Macedonia,USD,39.99
Norway,NOK,499.0
Oman,USD,39.99
Pakistan,PKR,9900.0
Palau,USD,39.99
Panama,USD,39.99
Papua New Guinea,USD,39.99
Paraguay,USD,39.99
Peru,PEN,179.9
Philippines,PHP,2490.0
Poland,PLN,199.99
Portugal,EUR,44.99
Qatar,QAR,149.99
Romania,RON,199.99
Russia,RUB,3490.0
Rwanda,USD,39.99
São Tomé and Príncipe,USD,39.99
Saudi Arabia,SAR,179.99
Senegal,USD,49.99
Serbia,EUR,44.99
Seychelles,USD,39.99
Sierra Leone,USD,39.99
Singapore,SGD,59.98
Slovakia,EUR,44.99
Slovenia,EUR,44.99
Solomon Islands,USD,39.99
South Africa,ZAR,799.99
Spain,EUR,44.99
Sri Lanka,USD,39.99
St. Kitts and Nevis,USD,39.99
St. Lucia,USD,39.99
St. Vincent and the Grenadines,USD,39.99
Suriname,USD,39.99
Sweden,SEK,499.0
Switzerland,CHF,35.0
Taiwan,TWD,1290
Tajikistan,USD,39.99
Tanzania,TZS,99900.0
Thailand,THB,1490.0
Tonga,USD,39.99
Trinidad and Tobago,USD,39.99
Tunisia,USD,39.99
Türkiye,TRY,1999.99
Turkmenistan,USD,39.99
Turks and Caicos Islands,USD,39.99
Uganda,USD,49.99
Ukraine,USD,49.99
United Arab Emirates,AED,149.99
United Kingdom,GBP,39.99
United States,USD,39.99
Uruguay,USD,39.99
Uzbekistan,USD,39.99
Vanuatu,USD,39.99
Venezuela,USD,39.99
Vietnam,VND,1199000
Yemen,USD,39.99
Zambia,USD,49.99
Zimbabwe,USD,49.99
