Countries or Regions,Currency Code,Price
Afghanistan,USD,3.99
Albania,USD,4.99
Algeria,USD,3.99
Angola,USD,3.99
Anguilla,USD,3.99
Antigua and Barbuda,USD,3.99
Argentina,USD,3.99
Armenia,USD,4.99
Australia,AUD,5.99
Austria,EUR,3.99
Azerbaijan,USD,4.99
Bahamas,USD,3.99
Bahrain,USD,3.99
Barbados,USD,4.99
Belarus,USD,4.99
Belgium,EUR,3.99
Belize,USD,3.99
Benin,USD,4.99
Bermuda,USD,3.99
Bhutan,USD,3.99
Bolivia,USD,3.99
Bosnia and Herzegovina,EUR,3.99
Botswana,USD,3.99
Brazil,BRL,24.9
British Virgin Islands,USD,3.99
Brunei,USD,3.99
Bulgaria,EUR,3.99
Burkina Faso,USD,3.99
Cambodia,USD,3.99
Cameroon,USD,4.99
Canada,CAD,4.99
Cape Verde,USD,3.99
Cayman Islands,USD,3.99
Chad,USD,3.99
Chile,CLP,4990
China mainland,CNY,28.0
Colombia,COP,19900.0
"Congo, Democratic Republic of the",USD,3.99
"Congo, Republic of the",USD,3.99
Costa Rica,USD,3.99
Côte d’Ivoire,USD,4.99
Croatia,EUR,3.99
Cyprus,EUR,3.99
Czech Republic,CZK,99.0
Denmark,DKK,39.0
Dominica,USD,3.99
Dominican Republic,USD,3.99
Ecuador,USD,3.99
Egypt,EGP,199.99
El Salvador,USD,3.99
Estonia,EUR,3.99
Eswatini,USD,3.99
Fiji,USD,3.99
Finland,EUR,3.99
France,EUR,3.99
Gabon,USD,3.99
Gambia,USD,3.99
Georgia,USD,4.99
Germany,EUR,3.99
Ghana,USD,4.99
Greece,EUR,3.99
Grenada,USD,3.99
Guatemala,USD,3.99
Guinea-Bissau,USD,3.99
Guyana,USD,3.99
Honduras,USD,3.99
Hong Kong,HKD,32.0
Hungary,HUF,1790
Iceland,USD,4.99
India,INR,399.0
Indonesia,IDR,69000
Iraq,USD,3.99
Ireland,EUR,3.99
Israel,ILS,14.9
Italy,EUR,3.99
Jamaica,USD,3.99
Japan,JPY,600
Jordan,USD,3.99
Kazakhstan,KZT,2490.0
Kenya,USD,4.99
"Korea, Republic of",KRW,5500
Kosovo,EUR,3.99
Kuwait,USD,3.99
Kyrgyzstan,USD,3.99
Laos,USD,3.99
Latvia,EUR,3.99
Lebanon,USD,3.99
Liberia,USD,3.99
Libya,USD,3.99
Lithuania,EUR,3.99
Luxembourg,EUR,3.99
Macau,USD,3.99
Madagascar,USD,3.99
Malawi,USD,3.99
Malaysia,MYR,19.9
Maldives,USD,3.99
Mali,USD,3.99
Malta,EUR,3.99
Mauritania,USD,3.99
Mauritius,USD,3.99
Mexico,MXN,89.0
Micronesia,USD,3.99
Moldova,USD,4.99
Mongolia,USD,3.99
Montenegro,EUR,3.99
Montserrat,USD,3.99
Morocco,USD,3.99
Mozambique,USD,3.99
Myanmar,USD,3.99
Namibia,USD,3.99
Nauru,USD,3.99
Nepal,USD,4.99
Netherlands,EUR,3.99
New Zealand,NZD,6.99
Nicaragua,USD,3.99
Niger,USD,3.99
Nigeria,NGN,6900.0
North Macedonia,USD,3.99
Norway,NOK,49.0
Oman,USD,3.99
Pakistan,PKR,1100.0
Palau,USD,3.99
Panama,USD,3.99
Papua New Guinea,USD,3.99
Paraguay,USD,3.99
Peru,PEN,17.9
Philippines,PHP,249.0
Poland,PLN,19.99
Portugal,EUR,3.99
Qatar,QAR,14.99
Romania,RON,19.99
Russia,RUB,349.0
Rwanda,USD,3.99
São Tomé and Príncipe,USD,3.99
Saudi Arabia,SAR,17.99
Senegal,USD,4.99
Serbia,EUR,3.99
Seychelles,USD,3.99
Sierra Leone,USD,3.99
Singapore,SGD,5.98
Slovakia,EUR,3.99
Slovenia,EUR,3.99
Solomon Islands,USD,3.99
South Africa,ZAR,79.99
Spain,EUR,3.99
Sri Lanka,USD,3.99
St. Kitts and Nevis,USD,3.99
St. Lucia,USD,3.99
St. Vincent and the Grenadines,USD,3.99
Suriname,USD,3.99
Sweden,SEK,49.0
Switzerland,CHF,3.0
Taiwan,TWD,120
Tajikistan,USD,3.99
Tanzania,TZS,11900.0
Thailand,THB,149.0
Tonga,USD,3.99
Trinidad and Tobago,USD,3.99
Tunisia,USD,3.99
Türkiye,TRY,199.99
Turkmenistan,USD,3.99
Turks and Caicos Islands,USD,3.99
Uganda,USD,4.99
Ukraine,USD,4.99
United Arab Emirates,AED,14.99
United Kingdom,GBP,3.99
United States,USD,3.99
Uruguay,USD,3.99
Uzbekistan,USD,3.99
Vanuatu,USD,3.99
Venezuela,USD,3.99
Vietnam,VND,119000
Yemen,USD,3.99
Zambia,USD,4.99
Zimbabwe,USD,4.99
