Countries or Regions,Currency Code,Price,May Adjust Automatically
United States,USD,0.0,N
Afghanistan,USD,0.0,Y
Albania,USD,0.0,Y
Algeria,USD,0.0,Y
Angola,USD,0.0,Y
Anguilla,USD,0.0,Y
Antigua and Barbuda,USD,0.0,Y
Argentina,USD,0.0,Y
Armenia,USD,0.0,Y
Australia,AUD,0.0,Y
Austria,EUR,0.0,Y
Azerbaijan,USD,0.0,Y
Bahamas,USD,0.0,Y
Bahrain,USD,0.0,Y
Barbados,USD,0.0,Y
Belarus,USD,0.0,Y
Belgium,EUR,0.0,Y
Belize,USD,0.0,Y
Benin,USD,0.0,Y
Bermuda,USD,0.0,Y
Bhutan,USD,0.0,Y
Bolivia,USD,0.0,Y
Bosnia and Herzegovina,EUR,0.0,Y
Botswana,USD,0.0,Y
Brazil,BRL,0.0,Y
British Virgin Islands,USD,0.0,Y
Brunei,USD,0.0,Y
Bulgaria,EUR,0.0,Y
Burkina Faso,USD,0.0,Y
Cambodia,USD,0.0,Y
Cameroon,USD,0.0,Y
Canada,CAD,0.0,Y
Cape Verde,USD,0.0,Y
Cayman Islands,USD,0.0,Y
Chad,USD,0.0,Y
Chile,CLP,0,Y
China mainland,CNY,0.0,Y
Colombia,COP,0.0,Y
"Congo, Democratic Republic of the",USD,0.0,Y
"Congo, Republic of the",USD,0.0,Y
Costa Rica,USD,0.0,Y
Côte d’Ivoire,USD,0.0,Y
Croatia,EUR,0.0,Y
Cyprus,EUR,0.0,Y
Czech Republic,CZK,0.0,Y
Denmark,DKK,0.0,Y
Dominica,USD,0.0,Y
Dominican Republic,USD,0.0,Y
Ecuador,USD,0.0,Y
Egypt,EGP,0.0,Y
El Salvador,USD,0.0,Y
Estonia,EUR,0.0,Y
Eswatini,USD,0.0,Y
Fiji,USD,0.0,Y
Finland,EUR,0.0,Y
France,EUR,0.0,Y
Gabon,USD,0.0,Y
Gambia,USD,0.0,Y
Georgia,USD,0.0,Y
Germany,EUR,0.0,Y
Ghana,USD,0.0,Y
Greece,EUR,0.0,Y
Grenada,USD,0.0,Y
Guatemala,USD,0.0,Y
Guinea-Bissau,USD,0.0,Y
Guyana,USD,0.0,Y
Honduras,USD,0.0,Y
Hong Kong,HKD,0.0,Y
Hungary,HUF,0,Y
Iceland,USD,0.0,Y
India,INR,0.0,Y
Indonesia,IDR,0,Y
Iraq,USD,0.0,Y
Ireland,EUR,0.0,Y
Israel,ILS,0.0,Y
Italy,EUR,0.0,Y
Jamaica,USD,0.0,Y
Japan,JPY,0,Y
Jordan,USD,0.0,Y
Kazakhstan,KZT,0.0,Y
Kenya,USD,0.0,Y
"Korea, Republic of",KRW,0,Y
Kosovo,EUR,0.0,Y
Kuwait,USD,0.0,Y
Kyrgyzstan,USD,0.0,Y
Laos,USD,0.0,Y
Latvia,EUR,0.0,Y
Lebanon,USD,0.0,Y
Liberia,USD,0.0,Y
Libya,USD,0.0,Y
Lithuania,EUR,0.0,Y
Luxembourg,EUR,0.0,Y
Macau,USD,0.0,Y
Madagascar,USD,0.0,Y
Malawi,USD,0.0,Y
Malaysia,MYR,0.0,Y
Maldives,USD,0.0,Y
Mali,USD,0.0,Y
Malta,EUR,0.0,Y
Mauritania,USD,0.0,Y
Mauritius,USD,0.0,Y
Mexico,MXN,0.0,Y
Micronesia,USD,0.0,Y
Moldova,USD,0.0,Y
Mongolia,USD,0.0,Y
Montenegro,EUR,0.0,Y
Montserrat,USD,0.0,Y
Morocco,USD,0.0,Y
Mozambique,USD,0.0,Y
Myanmar,USD,0.0,Y
Namibia,USD,0.0,Y
Nauru,USD,0.0,Y
Nepal,USD,0.0,Y
Netherlands,EUR,0.0,Y
New Zealand,NZD,0.0,Y
Nicaragua,USD,0.0,Y
Niger,USD,0.0,Y
Nigeria,NGN,0.0,Y
North Macedonia,USD,0.0,Y
Norway,NOK,0.0,Y
Oman,USD,0.0,Y
Pakistan,PKR,0.0,Y
Palau,USD,0.0,Y
Panama,USD,0.0,Y
Papua New Guinea,USD,0.0,Y
Paraguay,USD,0.0,Y
Peru,PEN,0.0,Y
Philippines,PHP,0.0,Y
Poland,PLN,0.0,Y
Portugal,EUR,0.0,Y
Qatar,QAR,0.0,Y
Romania,RON,0.0,Y
Russia,RUB,0.0,Y
Rwanda,USD,0.0,Y
São Tomé and Príncipe,USD,0.0,Y
Saudi Arabia,SAR,0.0,Y
Senegal,USD,0.0,Y
Serbia,EUR,0.0,Y
Seychelles,USD,0.0,Y
Sierra Leone,USD,0.0,Y
Singapore,SGD,0.0,Y
Slovakia,EUR,0.0,Y
Slovenia,EUR,0.0,Y
Solomon Islands,USD,0.0,Y
South Africa,ZAR,0.0,Y
Spain,EUR,0.0,Y
Sri Lanka,USD,0.0,Y
St. Kitts and Nevis,USD,0.0,Y
St. Lucia,USD,0.0,Y
St. Vincent and the Grenadines,USD,0.0,Y
Suriname,USD,0.0,Y
Sweden,SEK,0.0,Y
Switzerland,CHF,0.0,Y
Taiwan,TWD,0,Y
Tajikistan,USD,0.0,Y
Tanzania,TZS,0.0,Y
Thailand,THB,0.0,Y
Tonga,USD,0.0,Y
Trinidad and Tobago,USD,0.0,Y
Tunisia,USD,0.0,Y
Türkiye,TRY,0.0,Y
Turkmenistan,USD,0.0,Y
Turks and Caicos Islands,USD,0.0,Y
Uganda,USD,0.0,Y
Ukraine,USD,0.0,Y
United Arab Emirates,AED,0.0,Y
United Kingdom,GBP,0.0,Y
Uruguay,USD,0.0,Y
Uzbekistan,USD,0.0,Y
Vanuatu,USD,0.0,Y
Venezuela,USD,0.0,Y
Vietnam,VND,0,Y
Yemen,USD,0.0,Y
Zambia,USD,0.0,Y
Zimbabwe,USD,0.0,Y
